N,CPU,Compilation Parameter,t(s)
205,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
206,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
207,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
208,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
209,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
210,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
211,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
212,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
213,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
214,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
215,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
216,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
217,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
218,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
219,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
220,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
221,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
222,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
223,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
224,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
225,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
226,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
227,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
228,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
229,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
230,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
231,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
232,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
233,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
234,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
235,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
236,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
237,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
238,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
239,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
240,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
241,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
242,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
243,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
244,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
245,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
246,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
247,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
248,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
249,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
250,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
251,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
252,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
253,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
254,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
255,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
256,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
257,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
258,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
259,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
260,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
261,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
262,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
263,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
264,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
265,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
266,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
267,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
268,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
269,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
270,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
271,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
272,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
273,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
274,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
275,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
276,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
277,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
278,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
279,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
280,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
281,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
282,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
283,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
284,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
285,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
286,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
287,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
288,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
289,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
290,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
291,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
292,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
293,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
