N,CPU,Compilation Parameter,t(s)
210,2.7 GHz Intel Core i5 Dual-Core,O3,0.009007
211,2.7 GHz Intel Core i5 Dual-Core,O3,0.009124
212,2.7 GHz Intel Core i5 Dual-Core,O3,0.009268
213,2.7 GHz Intel Core i5 Dual-Core,O3,0.009626
214,2.7 GHz Intel Core i5 Dual-Core,O3,0.009757
215,2.7 GHz Intel Core i5 Dual-Core,O3,0.009910
216,2.7 GHz Intel Core i5 Dual-Core,O3,0.009836
217,2.7 GHz Intel Core i5 Dual-Core,O3,0.009715
218,2.7 GHz Intel Core i5 Dual-Core,O3,0.010092
219,2.7 GHz Intel Core i5 Dual-Core,O3,0.010300
220,2.7 GHz Intel Core i5 Dual-Core,O3,0.010432
221,2.7 GHz Intel Core i5 Dual-Core,O3,0.010538
222,2.7 GHz Intel Core i5 Dual-Core,O3,0.010671
223,2.7 GHz Intel Core i5 Dual-Core,O3,0.010801
224,2.7 GHz Intel Core i5 Dual-Core,O3,0.011537
225,2.7 GHz Intel Core i5 Dual-Core,O3,0.011227
226,2.7 GHz Intel Core i5 Dual-Core,O3,0.011341
227,2.7 GHz Intel Core i5 Dual-Core,O3,0.011438
228,2.7 GHz Intel Core i5 Dual-Core,O3,0.011613
229,2.7 GHz Intel Core i5 Dual-Core,O3,0.011718
230,2.7 GHz Intel Core i5 Dual-Core,O3,0.011866
231,2.7 GHz Intel Core i5 Dual-Core,O3,0.012141
232,2.7 GHz Intel Core i5 Dual-Core,O3,0.012260
233,2.7 GHz Intel Core i5 Dual-Core,O3,0.012429
234,2.7 GHz Intel Core i5 Dual-Core,O3,0.012340
235,2.7 GHz Intel Core i5 Dual-Core,O3,0.012698
236,2.7 GHz Intel Core i5 Dual-Core,O3,0.012867
237,2.7 GHz Intel Core i5 Dual-Core,O3,0.013406
238,2.7 GHz Intel Core i5 Dual-Core,O3,0.013418
239,2.7 GHz Intel Core i5 Dual-Core,O3,0.013484
240,2.7 GHz Intel Core i5 Dual-Core,O3,0.014805
241,2.7 GHz Intel Core i5 Dual-Core,O3,0.014629
242,2.7 GHz Intel Core i5 Dual-Core,O3,0.015073
243,2.7 GHz Intel Core i5 Dual-Core,O3,0.015179
244,2.7 GHz Intel Core i5 Dual-Core,O3,0.015350
245,2.7 GHz Intel Core i5 Dual-Core,O3,0.015701
246,2.7 GHz Intel Core i5 Dual-Core,O3,0.019875
247,2.7 GHz Intel Core i5 Dual-Core,O3,0.017766
248,2.7 GHz Intel Core i5 Dual-Core,O3,0.015896
249,2.7 GHz Intel Core i5 Dual-Core,O3,0.016174
250,2.7 GHz Intel Core i5 Dual-Core,O3,0.016176
251,2.7 GHz Intel Core i5 Dual-Core,O3,0.016747
252,2.7 GHz Intel Core i5 Dual-Core,O3,0.016415
253,2.7 GHz Intel Core i5 Dual-Core,O3,0.016679
254,2.7 GHz Intel Core i5 Dual-Core,O3,0.018878
255,2.7 GHz Intel Core i5 Dual-Core,O3,0.017756
256,2.7 GHz Intel Core i5 Dual-Core,O3,0.038631
257,2.7 GHz Intel Core i5 Dual-Core,O3,0.017069
258,2.7 GHz Intel Core i5 Dual-Core,O3,0.017170
259,2.7 GHz Intel Core i5 Dual-Core,O3,0.017289
260,2.7 GHz Intel Core i5 Dual-Core,O3,0.017587
261,2.7 GHz Intel Core i5 Dual-Core,O3,0.017644
262,2.7 GHz Intel Core i5 Dual-Core,O3,0.018225
263,2.7 GHz Intel Core i5 Dual-Core,O3,0.018491
264,2.7 GHz Intel Core i5 Dual-Core,O3,0.018399
265,2.7 GHz Intel Core i5 Dual-Core,O3,0.018259
266,2.7 GHz Intel Core i5 Dual-Core,O3,0.018407
267,2.7 GHz Intel Core i5 Dual-Core,O3,0.018701
268,2.7 GHz Intel Core i5 Dual-Core,O3,0.018842
269,2.7 GHz Intel Core i5 Dual-Core,O3,0.019075
270,2.7 GHz Intel Core i5 Dual-Core,O3,0.019358
271,2.7 GHz Intel Core i5 Dual-Core,O3,0.028807
272,2.7 GHz Intel Core i5 Dual-Core,O3,0.020207
273,2.7 GHz Intel Core i5 Dual-Core,O3,0.020111
274,2.7 GHz Intel Core i5 Dual-Core,O3,0.020475
275,2.7 GHz Intel Core i5 Dual-Core,O3,0.020768
276,2.7 GHz Intel Core i5 Dual-Core,O3,0.020658
277,2.7 GHz Intel Core i5 Dual-Core,O3,0.020771
278,2.7 GHz Intel Core i5 Dual-Core,O3,0.020989
279,2.7 GHz Intel Core i5 Dual-Core,O3,0.021272
280,2.7 GHz Intel Core i5 Dual-Core,O3,0.022139
281,2.7 GHz Intel Core i5 Dual-Core,O3,0.022386
282,2.7 GHz Intel Core i5 Dual-Core,O3,0.022039
283,2.7 GHz Intel Core i5 Dual-Core,O3,0.022135
284,2.7 GHz Intel Core i5 Dual-Core,O3,0.022473
285,2.7 GHz Intel Core i5 Dual-Core,O3,0.022690
286,2.7 GHz Intel Core i5 Dual-Core,O3,0.022928
287,2.7 GHz Intel Core i5 Dual-Core,O3,0.023091
288,2.7 GHz Intel Core i5 Dual-Core,O3,0.024774
289,2.7 GHz Intel Core i5 Dual-Core,O3,0.023576
290,2.7 GHz Intel Core i5 Dual-Core,O3,0.023863
291,2.7 GHz Intel Core i5 Dual-Core,O3,0.024199
292,2.7 GHz Intel Core i5 Dual-Core,O3,0.025144
293,2.7 GHz Intel Core i5 Dual-Core,O3,0.033767
294,2.7 GHz Intel Core i5 Dual-Core,O3,0.025208
295,2.7 GHz Intel Core i5 Dual-Core,O3,0.025369
296,2.7 GHz Intel Core i5 Dual-Core,O3,0.025502
297,2.7 GHz Intel Core i5 Dual-Core,O3,0.025626
298,2.7 GHz Intel Core i5 Dual-Core,O3,0.025854
299,2.7 GHz Intel Core i5 Dual-Core,O3,0.026212
300,2.7 GHz Intel Core i5 Dual-Core,O3,0.026526
301,2.7 GHz Intel Core i5 Dual-Core,O3,0.027333
302,2.7 GHz Intel Core i5 Dual-Core,O3,0.026945
303,2.7 GHz Intel Core i5 Dual-Core,O3,0.027293
